Adam
AdamWeightDecay
AdaptiveAvgPool2D
AdaptiveMaxPool2D
AddN
AllToAllv
AngleAtomEnergy
AngleEnergy
AngleForce
AngleForceWithAtomEnergy
ApplyAdagrad
ApplyCenteredRMSProp
ApplyFtrl
ApplyGradientDescent
ApplyMomentum
ApplyRMSProp
Assert
AvgPool
AvgPool3D
AvgPool3DGrad
AvgPoolGrad
BCEWithLogitsLoss
BatchAssign
BatchNorm
BatchNormFold
BatchNormFold2
BatchNormFold2Grad
BatchNormFoldGrad
BatchNormGrad
BatchNormGradWithActivation
BatchNormGradWithAddAndActivation
BatchNormWithActivation
BatchNormWithAddAndActivation
BatchToSpace
BiasAddGrad
BinaryCrossEntropy
BinaryCrossEntropyGrad
BondAtomEnergy
BondEnergy
BondForce
BondForceWithAtomEnergy
BondForceWithAtomEnergyAndVirial
BondForceWithAtomVirial
BroadcastTo
BufferAppend
BufferGetItem
BufferSample
CTCLoss
CalculateNowrapCrd
Cast
Cholesky
CholeskyTrsm
CombineMomentum
CombineMomentumWeight
Concat
ConcatOffset
Conj
Constrain
ConstrainForce
ConstrainForceCycle
ConstrainForceCycleWithVirial
ConstrainForceVirial
Conv2D
Conv2DBackpropFilter
Conv2DBackpropInput
CorrectionMul
CorrectionMulGrad
CropAndResize
CudnnGRU
CudnnUniformReal
CumProd
CumSum
DenseToCSRSparseMatrix
DetTriangle
Dihedral14CFAtomEnergy
Dihedral14CFEnergy
Dihedral14ForceWithAtomEnergyVirial
Dihedral14LJAtomEnergy
Dihedral14LJCFForceWithAtomEnergy
Dihedral14LJEnergy
Dihedral14LJForce
Dihedral14LJForceWithDirectCF
DihedralAtomEnergy
DihedralEnergy
DihedralForce
DihedralForceWithAtomEnergy
DiscountedReturn
DynamicBroadcastGradientArgs
DynamicShape
DynamicStitch
Eigh
EinsumGrad
EmbeddingLookup
EnvCreate
EnvReset
EnvStep
EnvironCreate
EnvironDestroyAll
EnvironGet
EnvironSet
ExpandDims
ExtractImagePatches
FFT3D
FakeLearnedScaleQuantPerChannel
FakeLearnedScaleQuantPerChannelGrad
FakeLearnedScaleQuantPerLayer
FakeLearnedScaleQuantPerLayerGrad
FakeQuantPerChannel
FakeQuantPerChannelGrad
FakeQuantPerLayer
FakeQuantPerLayerGrad
Flatten
FlattenGrad
FloatStatus
FusedAdam
FusedAdamWeightDecay
FusedAddReluGradV2
FusedAddReluV2
FusedMatMulBiasAdd
FusedScaleApplyMomentum
FusedWeightApplyMomentum
FusedWeightScaleApplyMomentum
Gather
GeLU
GeLUGrad
GetCenterOfMass
GetNext
GpuConvertToDynamicShape
GridSampler2DGrad
GridSampler3DGrad
GruGradData
GruGradWeight
HSigmoid
HSwish
IFFT3D
Identity
Im2Col
Imag
InitDataSetQueue
IsFinite
IsInf
IsNan
KLDivLossGrad
L2Loss
L2Normalize
L2NormalizeGrad
LJEnergy
LJForce
LJForceWithPMEDirectForce
LJForceWithPMEDirectForceUpdate
LJForceWithVirialEnergy
LJForceWithVirialEnergyUpdate
LRN
LRNGrad
LSTM
LSTMGradData
LSTMGradWeight
LU
Lamb
LastCrdToDr
LayerNorm
LayerNormGrad
LayerNormGradGrad
LinSpace
LogSoftmax
LogicalNot
MDIterationLeapFrog
MDIterationLeapFrogLiujian
MDIterationLeapFrogLiujianWithMaxVel
MDIterationLeapFrogWithMaxVel
MDIterationSetupRandState
MDTemperature
MapCenterOfMass
MatrixInverse
MaxPool
MaxPool3D
MaxPool3DGrad
MaxPoolGrad
MaxPoolGradWithArgmax
Meshgrid
MinMaxUpdatePerChannel
MinMaxUpdatePerLayer
NLLLoss
NLLLossGrad
NMSWithMask
NeighborExchange
NeighborListRefresh
NeighborListUpdate
OPNAME
OneHot
OnesLike
PMEEnergy
PMEEnergyUpdate
PMEExcludedForce
PMEExcludedForceUpdate
PMEReciprocalForceUpdate
PReLUGrad
Pad
Print
PriorityReplayBufferDestroy
PriorityReplayBufferPush
PriorityReplayBufferSample
PriorityReplayBufferUpdate
PsROIPooling
PsROIPoolingGrad
RandomCategorical
Randperm
Range
ReLU
Real
Receive
ReduceAll
ReduceAny
ReduceMax
ReduceMean
ReduceMin
ReduceProd
ReduceSum
RefreshBoxmapTimes
RefreshCrdVel
RefreshUintCrd
Reshape
ResizeBilinear
ResizeNearestNeighbor
ResizeNearestNeighborGrad
RestrainEnergy
RestrainForce
RestrainForceWithAtomEnergyVirial
ReverseV2
SGD
ScaleGrad
ScatterAdd
ScatterMax
ScatterMin
ScatterSub
ScatterUpdate
Select
Send
SigmoidCrossEntropyWithLogitsGrad
SmoothL1LossGrad
Softmax
SoftmaxCrossEntropyWithLogits
SpaceToBatch
SpaceToDepth
SparseApplyFtrl
SparseApplyProximalAdagrad
SparseGatherV2
SparseMatrixAdd
Split
SquareSumAll
Squeeze
Stack
StandardNormal
StreamRecv
StreamSend
StridedSlice
StridedSliceGrad
TensorArray
TensorArrayClear
TensorArrayClose
TensorArrayRead
TensorArraySize
TensorArrayStack
TensorArrayWrite
TensorMove
TensorShape
TensorsQueueClear
TensorsQueueClose
TensorsQueueCreate
TensorsQueueGet
TensorsQueuePut
TensorsQueueSize
Tile
TopK
TransferCrd
Transpose
TrtNode
UniformCandidateSampler
UniformInt
UniformReal
UnsortedSegmentMax
UnsortedSegmentMin
UnsortedSegmentSum
Unstack
UpdateThorGradient
ZerosLike
