abs
abs_grad
accuracy
acos
acos_grad
acosh
acosh_grad
adadelta
adagrad
adam
adamax
adamw
addmm
addmm_grad
affine_channel
affine_channel_grad
affine_grid
affine_grid_grad
all_gather
all_reduce
allclose
allreduce
alltoall
anchor_generator
angle
angle_grad
arg_max
arg_min
argsort
argsort_grad
as_complex
as_real
asin
asin_grad
asinh
asinh_grad
assign
assign_pos
assign_value
atan
atan2
atan2_grad
atan_grad
atanh
atanh_grad
auc
average_accumulates
barrier
batch_fc
batch_fc_grad
batch_norm
batch_norm_grad
bce_loss
bce_loss_grad
beam_search
beam_search_decode
bernoulli
bicubic_interp_v2
bicubic_interp_v2_grad
bilateral_slice
bilateral_slice_grad
bilinear_grad
bilinear_interp_v2
bilinear_interp_v2_grad
bilinear_tensor_product
bincount
bitwise_and
bitwise_not
bitwise_or
bitwise_xor
bmm
bmm_grad
box_clip
box_coder
box_decoder_and_assign
brelu
brelu_grad
broadcast
broadcast_tensors
broadcast_tensors_grad
ceil
ceil_grad
celu
celu_grad
center_loss
center_loss_grad
channel_shuffle
channel_shuffle_grad
check_finite_and_unscale
check_memory_continue
cholesky
cholesky_grad
cholesky_solve
cholesky_solve_grad
class_center_sample
clip
clip_by_norm
clip_grad
coalesce_tensor
collect_fpn_proposals
complex
complex_grad
concat
concat_grad
conj
conv2d
conv2d_fusion
conv2d_fusion_cutlass
conv2d_grad
conv2d_inception_fusion
conv2d_transpose
conv2d_transpose_grad
conv3d
conv3d_grad
conv3d_transpose
conv3d_transpose_grad
conv_shift
conv_shift_grad
correlation
correlation_grad
cos
cos_grad
cos_sim
cos_sim_grad
cosh
cosh_grad
crop_tensor
crop_tensor_grad
cross
cross_entropy
cross_entropy2
cross_entropy_grad
cross_entropy_grad2
cross_grad
ctc_align
cudnn_lstm
cudnn_lstm_grad
cumprod
cumprod_grad
cumsum
cumsum_grad
cvm
cvm_grad
data_norm
data_norm_grad
decayed_adagrad
decode_jpeg
deformable_conv_v1
deformable_conv_v1_grad
deformable_psroi_pooling
deformable_psroi_pooling_grad
density_prior_box
depthwise_conv2d
depthwise_conv2d_grad
depthwise_conv2d_transpose
depthwise_conv2d_transpose_grad
determinant
determinant_grad
dgc
dgc_clip_by_norm
dgc_momentum
diag_embed
diag_v2
diag_v2_grad
diagonal
diagonal_grad
digamma
digamma_grad
dirichlet
dist
dist_grad
distribute_fpn_proposals
distributed_fused_lamb
distributed_fused_lamb_init
distributed_lookup_table
dot
dot_grad
dropout
dropout_grad
dropout_nd
dropout_nd_grad
edit_distance
eigh
eigh_grad
eigvalsh
eigvalsh_grad
einsum
einsum_grad
elementwise_add
elementwise_add_grad
elementwise_div
elementwise_div_grad
elementwise_floordiv
elementwise_fmax
elementwise_fmax_grad
elementwise_fmin
elementwise_fmin_grad
elementwise_heaviside
elementwise_heaviside_grad
elementwise_max
elementwise_max_grad
elementwise_min
elementwise_min_grad
elementwise_mod
elementwise_mul
elementwise_mul_grad
elementwise_pow
elementwise_pow_grad
elementwise_sub
elementwise_sub_grad
elu
elu_grad
empty
equal
equal_all
erf
erf_grad
erfinv
erfinv_grad
exp
exp_grad
expand_as_v2
expand_as_v2_grad
expand_v2
expand_v2_grad
expm1
expm1_grad
exponential
eye
fc
fill_any
fill_any_grad
fill_any_like
fill_constant
fill_constant_batch_size_like
fill_diagonal
fill_diagonal_grad
fill_diagonal_tensor
fill_diagonal_tensor_grad
fill_zeros_like
fill_zeros_like2
filter_by_instag
filter_by_instag_grad
flash_attn
flash_attn_grad
flash_attn_unpadded
flash_attn_unpadded_grad
flatten_contiguous_range
flatten_contiguous_range_grad
flip
floor
floor_grad
fold
fold_grad
frame
frame_grad
frobenius_norm
frobenius_norm_grad
fsp
fsp_grad
ftrl
fusion_group
fusion_transpose_flatten_concat
gather
gather_grad
gather_nd
gather_nd_grad
gather_tree
gaussian_random
gaussian_random_batch_size_like
gelu
gelu_grad
generate_proposals_v2
get_tensor_from_selected_rows
global_gather
global_scatter
grad_add
graph_khop_sampler
graph_reindex
graph_sample_neighbors
greater_equal
greater_than
grid_sampler
grid_sampler_grad
group_norm
group_norm_grad
gru
gru_grad
gru_unit
gru_unit_grad
gumbel_softmax
gumbel_softmax_grad
hard_shrink
hard_shrink_grad
hard_sigmoid
hard_sigmoid_grad
hard_swish
hard_swish_grad
hinge_loss
hinge_loss_grad
histogram
huber_loss
huber_loss_grad
im2sequence
im2sequence_grad
imag
imag_grad
increment
index_add
index_add_grad
index_sample
index_sample_grad
index_select
index_select_grad
instance_norm
instance_norm_grad
inverse
inverse_grad
is_empty
isclose
isfinite_v2
isinf_v2
isnan_v2
kldiv_loss
kldiv_loss_grad
kron
kron_grad
kthvalue
kthvalue_grad
l1_norm
l1_norm_grad
label_smooth
label_smooth_grad
lamb
layer_norm
layer_norm_grad
leaky_relu
leaky_relu_grad
lerp
lerp_grad
less_equal
less_than
lgamma
lgamma_grad
limit_by_capacity
linear_interp_v2
linear_interp_v2_grad
linspace
load
log
log10
log10_grad
log1p
log1p_grad
log2
log2_grad
log_grad
log_loss
log_loss_grad
log_softmax
log_softmax_grad
logcumsumexp
logcumsumexp_grad
logical_and
logical_not
logical_or
logical_xor
logit
logit_grad
logsigmoid
logsigmoid_grad
logspace
logsumexp
logsumexp_grad
lookup_table_v2
lookup_table_v2_grad
lrn
lrn_grad
lstm
lstm_grad
lstm_unit
lstm_unit_grad
lstmp
lstmp_grad
lstsq
lu
lu_grad
lu_unpack
lu_unpack_grad
margin_cross_entropy
margin_cross_entropy_grad
margin_rank_loss
margin_rank_loss_grad
masked_select
masked_select_grad
matmul_v2
matmul_v2_grad
matrix_power
matrix_power_grad
matrix_rank
max_pool2d_with_index
max_pool2d_with_index_grad
max_pool3d_with_index
max_pool3d_with_index_grad
maxout
maxout_grad
mean
mean_grad
memcpy
memcpy_d2h
memcpy_h2d
memory_efficient_attention
memory_efficient_attention_grad
merge_selected_rows
merged_adam
merged_momentum
meshgrid
meshgrid_grad
mish
mish_grad
mode
mode_grad
modified_huber_loss
modified_huber_loss_grad
moe
momentum
moving_average_abs_max_scale
mul
mul_grad
multi_dot
multi_dot_grad
multinomial
multiplex
multiplex_grad
mv
mv_grad
nanmedian
nanmedian_grad
nearest_interp_v2
nearest_interp_v2_grad
nll_loss
nll_loss_grad
nms
nop
norm
norm_grad
not_equal
npu_identity
number_count
one_hot_v2
overlap_add
overlap_add_grad
p_norm
p_norm_grad
p_recv
p_recv_array
p_send
p_send_array
pad
pad2d
pad2d_grad
pad3d
pad3d_grad
pad_constant_like
pad_constant_like_grad
pad_grad
pixel_shuffle
pixel_shuffle_grad
pixel_unshuffle
pixel_unshuffle_grad
poisson
poisson_grad
polygon_box_transform
pool2d
pool2d_grad
pool3d
pool3d_grad
pow
pow_grad
prelu
prelu_grad
prior_box
proximal_adagrad
proximal_gd
prroi_pool
prroi_pool_grad
prune_gate_by_capacity
psroi_pool
psroi_pool_grad
put_along_axis
put_along_axis_grad
qr
qr_grad
randint
random_crop
random_routing
randperm
range
rank_attention
rank_attention_grad
rank_loss
rank_loss_grad
real
real_grad
reciprocal
reciprocal_grad
recv_v2
reduce
reduce_all
reduce_amax
reduce_amax_grad
reduce_amin
reduce_amin_grad
reduce_any
reduce_max
reduce_max_grad
reduce_mean
reduce_mean_grad
reduce_min
reduce_min_grad
reduce_prod
